layer_types,ratio,k,k error,kx,kx error,ky,ky error,kz,kz error
[1 2 1 1 1 1 1 1 1 1],0.1,0.2513502849297697,0.010175348409519867,0.254939442123111,0.025971900446355105,0.21071451381552442,0.01131184511723373,0.2883968988506738,0.0187030059164903
[1 1 1 1 2 1 1 1 1 1],0.1,0.23774948703242238,0.009440549836101087,0.255688416863404,0.019459739503847974,0.17431292804107398,0.011857705197773225,0.2832471161927891,0.016612618171852844
[1 1 1 1 1 1 1 2 1 1],0.1,0.22133164413986747,0.007022343066999585,0.24611854803771682,0.014097682439818836,0.1809073994965613,0.016428967048937617,0.2369689848853242,0.012217447980385732
[1 1 1 1 1 1 2 1 1 1],0.1,0.21970465214327053,0.007439179407330088,0.2753844993733212,0.014438864134611927,0.1585662025591354,0.011619844479095287,0.2251632544973549,0.022163362966826253
[1 1 1 2 1 1 1 1 1 1],0.1,0.2237537273035338,0.006580283722296729,0.25225927654522123,0.009701717959659307,0.14846177274321606,0.008981947845908538,0.2705401326221642,0.012458874358389915
[1 1 1 1 1 1 2 1 1 1],0.1,0.2233046433737605,0.009404304328359892,0.2570286066427715,0.017123814060765262,0.17247483861477403,0.014715094638378664,0.24041048486373562,0.012727673790942376
[1 1 1 1 1 1 1 1 2 1],0.1,0.214223094197237,0.007674598156920246,0.23811713374756951,0.016462266172371936,0.16410805261287392,0.008923831348917192,0.24044409623126728,0.01890642913687353
[1 1 1 1 2 1 1 1 1 1],0.1,0.2322219631120397,0.013378101759700506,0.270995069638038,0.025646411442138212,0.1485217851201453,0.012335521178141138,0.2771490345779356,0.019158265260509476
[1 1 1 1 1 1 1 2 1 1],0.1,0.2257289807003744,0.009643853081206714,0.229460187005398,0.01606340814992658,0.15222914498647944,0.010474196967804078,0.2954976101092456,0.01646373071398281
[1 1 1 1 1 1 1 2 1 1],0.1,0.21298762266207358,0.006004125324266003,0.2515849268389276,0.01566612594079136,0.158959280512555,0.011652640799377684,0.2284186606347378,0.018291442668010166
[1 2 2 1 1 1 1 1 1 1],0.2,0.21547059061671764,0.010399039070104431,0.2523755124539701,0.017706928589725977,0.16431603374568338,0.010729146758431223,0.22972022565049946,0.019155408349757434
[1 1 1 2 1 1 1 1 1 2],0.2,0.1796898775431242,0.005850262915448722,0.22765172998000538,0.011948896806432026,0.10121793619258271,0.005952406923933954,0.2101999664567847,0.010018172516848903
[1 1 2 1 1 1 1 2 1 1],0.2,0.18054659859825142,0.0072679528201778365,0.2389663670650896,0.014975901363121033,0.09151321586028222,0.0061466227986020335,0.2111602128693822,0.010756201639280883
[2 1 1 1 1 1 1 1 2 1],0.2,0.1990293818579528,0.006868358216031478,0.25137688337882447,0.018389584849447995,0.11906403231133614,0.008544411008188361,0.22664722988369762,0.012697638614918391
[1 1 1 1 2 1 2 1 1 1],0.2,0.18553286351407577,0.008322187082954735,0.1938357068861215,0.018973182244614833,0.13275675375615845,0.009479977309018593,0.2300061298999477,0.021583729829425514
[1 2 1 1 2 1 1 1 1 1],0.2,0.1791019715010806,0.0052975575298992396,0.2082639003161039,0.009722618242237436,0.10807292760596998,0.011762944271458239,0.22096908658116748,0.006267386402864957
[2 1 1 1 1 2 1 1 1 1],0.2,0.1793442476089649,0.009934334822367004,0.21924090872993615,0.014244500689069912,0.10661456791491541,0.011742941642410003,0.21217726618204308,0.021323629189655052
[1 1 1 1 1 2 1 2 1 1],0.2,0.1996018486289878,0.006856257057723438,0.2349779951788462,0.005697274008809883,0.1170298931573355,0.009011552738098588,0.2467976575507819,0.018988062338554035
[1 1 2 1 1 2 1 1 1 1],0.2,0.1754061370447157,0.007758253241259943,0.2176967043365933,0.011584336360450332,0.10863543187237848,0.011760965204141442,0.19988627492517522,0.012172835953821005
[2 1 1 1 1 1 1 1 1 2],0.2,0.22431686815098498,0.01174724058084547,0.2521297842047141,0.023919333756341876,0.1535576951035291,0.011352804387912455,0.2672631251447115,0.0219671384896794
